time njob nq
0 1 0
1.30912 0 0
22.6296 1 0
22.9396 0 0
90.4574 1 0
92.0199 0 0
299.246 1 0
299.342 0 0
716.6 1 0
716.743 0 0
1464.78 1 0
1464.85 0 0
1898.54 1 0
1898.83 0 0
2105.02 1 0
2105.59 0 0
2950.6 1 0
2951.02 0 0
3212.25 1 0
3213.81 0 0
3387.91 1 0
3388.31 0 0
3948.14 1 0
3948.22 0 0
4623.06 1 0
4623.53 0 0
5096.24 1 0
5098.39 0 0
5334.17 1 0
5334.75 0 0
6539.3 1 0
6539.94 0 0
7047.14 1 0
7047.23 0 0
8057.65 1 0
8057.97 0 0
8162.04 1 0
8164.79 0 0
8225.05 1 0
8225.43 0 0
9194.78 1 0
9194.88 0 0
10285 1 0
