time njob nq
0 1 0
0.0286641 2 1
0.114579 3 2
0.379045 4 3
0.907693 5 4
1.30912 4 3
1.61915 3 2
1.85539 4 3
2.40482 5 4
2.66636 6 5
3.1817 5 4
3.27708 4 3
3.41994 3 2
3.49167 2 1
3.73742 3 2
3.78221 2 1
4.06885 3 2
4.29135 4 3
4.35316 3 2
4.77425 2 1
5.00098 3 2
5.85588 4 3
6.33172 3 2
6.45523 4 3
6.73365 3 2
6.75661 4 3
6.80981 3 2
7.27428 2 1
8.28312 3 2
8.92638 4 3
9.42345 3 2
10.0041 2 1
10.2064 3 2
10.3386 4 3
10.4184 5 4
10.6413 4 3
10.729 3 2
11.0488 2 1
11.6467 3 2
13.0277 4 3
13.7929 3 2
13.9632 4 3
14.172 3 2
14.2686 2 1
14.6672 1 0
15.4438 2 1
15.7028 3 2
15.9526 4 3
16.371 5 4
17.4324 4 3
17.4394 5 4
17.866 6 5
19.4278 7 6
19.5304 8 7
19.6603 9 8
20.0763 10 9
20.1302 9 8
20.8496 8 7
22.1169 7 6
22.147 6 5
22.1768 7 6
22.6712 8 7
22.94 9 8
23.0177 8 7
23.9494 7 6
24.106 6 5
24.3404 7 6
24.5108 8 7
24.5817 9 8
24.6436 10 9
25.5214 11 10
25.6324 12 11
25.9029 13 12
25.9251 12 11
26.7713 13 12
26.8954 12 11
27.2309 11 10
28.2216 12 11
28.6795 13 12
28.8603 14 13
29.092 15 14
30.1914 14 13
30.227 15 14
30.4841 16 15
30.7724 17 16
30.8332 16 15
30.9868 17 16
31.6416 16 15
31.9741 17 16
32.2779 18 17
32.3289 19 18
32.3434 18 17
33.0639 19 18
33.2247 18 17
33.2967 19 18
34.3802 20 19
34.7007 21 20
35.0483 22 21
35.1394 23 22
35.2047 22 21
35.4227 23 22
37.0859 24 23
37.2116 25 24
37.6631 26 25
38.1187 25 24
38.593 26 25
38.8547 25 24
38.9976 26 25
39.5715 27 26
40.4622 28 27
41.2459 29 28
42.1413 30 29
43.001 31 30
43.3084 32 31
43.3685 31 30
46.1628 30 29
46.4028 29 28
46.4349 28 27
46.6944 29 28
47.4978 30 29
47.5979 31 30
48.0015 32 31
48.0111 31 30
48.2114 32 31
48.2424 33 32
48.2975 34 33
48.6302 35 34
49.3074 34 33
49.6618 33 32
49.8647 32 31
50.2185 33 32
50.3856 34 33
50.45 33 32
50.5482 34 33
50.6007 35 34
50.7812 34 33
50.9893 35 34
51.013 34 33
51.6335 33 32
51.8236 32 31
51.9309 33 32
52.5611 32 31
52.729 33 32
53.0796 34 33
53.12 33 32
53.3185 34 33
53.7223 33 32
55.7145 32 31
55.7195 33 32
56.2945 34 33
56.4575 35 34
58.2341 36 35
58.2457 35 34
58.2885 36 35
58.5047 35 34
58.9456 36 35
59.149 35 34
59.4351 36 35
59.6583 37 36
60.3239 38 37
60.6197 37 36
60.7093 36 35
60.8062 37 36
60.9439 38 37
61.7482 39 38
62.0668 40 39
62.3758 41 40
62.4054 40 39
62.5095 39 38
62.6489 38 37
62.8809 37 36
63.3763 36 35
64.1259 35 34
64.5195 36 35
64.6241 37 36
65.0549 38 37
65.1544 37 36
65.6324 36 35
65.6864 35 34
65.8926 36 35
67.2097 37 36
67.6585 36 35
68.4015 37 36
68.4476 38 37
69.3923 37 36
69.4255 38 37
71.0285 37 36
71.7061 38 37
71.8751 39 38
71.9518 38 37
72.0745 39 38
72.1737 40 39
72.2156 39 38
72.4859 38 37
72.7234 39 38
73.0596 40 39
73.4664 41 40
74.4779 40 39
74.7106 39 38
74.8278 40 39
75.5521 41 40
76.4166 40 39
76.5894 41 40
76.6457 42 41
77.3331 41 40
77.3993 40 39
78.1144 41 40
79.8498 42 41
80.1132 43 42
80.2574 42 41
80.8223 43 42
81.5658 42 41
81.914 43 42
83.0092 42 41
83.6118 43 42
85.0423 42 41
85.2282 43 42
85.2785 42 41
85.4383 43 42
85.5056 44 43
86.5349 45 44
86.741 44 43
86.7716 45 44
87.1441 46 45
87.5809 45 44
87.8758 46 45
88.0688 47 46
88.08 46 45
88.114 45 44
88.183 44 43
88.3458 45 44
88.5397 46 45
89.0334 45 44
89.5546 46 45
89.5842 47 46
90.2026 48 47
90.2586 49 48
90.5747 50 49
91.3021 51 50
91.6167 52 51
91.9895 53 52
92.7959 52 51
92.8918 53 52
93.0471 52 51
93.4104 53 52
93.4267 54 53
93.6925 55 54
93.961 54 53
94.2604 55 54
94.7985 56 55
95.046 55 54
95.7201 56 55
95.7532 57 56
96.0594 56 55
96.1133 57 56
96.6008 56 55
97.4399 55 54
97.9909 56 55
98.1873 55 54
98.6819 54 53
98.6935 53 52
98.8025 54 53
98.9316 55 54
99.357 56 55
99.7899 55 54
99.8069 54 53
99.919 55 54
100.369 56 55
100.408 55 54
100.43 56 55
101.416 57 56
102.022 58 57
102.043 59 58
103.076 60 59
103.137 59 58
103.376 58 57
103.848 57 56
103.999 58 57
104.221 57 56
104.45 58 57
104.621 57 56
104.802 56 55
105.224 55 54
105.56 56 55
105.646 57 56
105.766 58 57
106.148 59 58
106.359 58 57
106.455 57 56
106.464 56 55
106.613 55 54
106.618 56 55
106.922 57 56
106.988 56 55
107.282 57 56
107.324 56 55
107.357 57 56
108.044 56 55
108.411 55 54
109.679 54 53
109.735 55 54
109.882 56 55
110.054 57 56
110.26 56 55
110.724 55 54
111.211 56 55
111.35 55 54
111.857 56 55
111.875 57 56
112.622 56 55
112.669 57 56
112.725 58 57
112.844 59 58
113.686 60 59
113.89 59 58
114.577 60 59
114.97 61 60
115.14 60 59
115.851 61 60
116.593 62 61
117.381 61 60
118.058 62 61
119.268 63 62
119.586 64 63
119.789 63 62
119.825 64 63
120.278 65 64
120.41 66 65
122.294 67 66
122.89 66 65
123.565 65 64
123.59 64 63
123.62 65 64
123.82 66 65
124.194 67 66
124.422 68 67
125.17 69 68
125.312 70 69
127.349 69 68
127.769 70 69
128.212 69 68
129.556 68 67
129.845 69 68
130.655 70 69
131.138 69 68
132.211 70 69
132.571 71 70
132.655 72 71
133.164 73 72
133.4 74 73
133.439 73 72
133.955 72 71
134.25 73 72
135.207 72 71
136.882 73 72
137.278 72 71
137.305 71 70
137.656 70 69
137.697 71 70
138.355 72 71
139.256 73 72
139.738 74 73
140.001 73 72
140.11 74 73
141.495 73 72
141.517 72 71
141.849 73 72
141.939 74 73
142.524 75 74
142.794 74 73
143.263 75 74
144.41 76 75
145.016 77 76
145.282 76 75
145.397 77 76
146.055 78 77
146.885 79 78
147.068 78 77
147.487 79 78
148.056 80 79
148.233 79 78
148.404 78 77
148.601 79 78
148.679 78 77
148.735 77 76
