time njob nq
0 1 0
0.0429962 2 1
0.171869 3 2
0.568568 4 3
1.30912 3 2
1.36154 4 3
1.61915 3 2
2.78309 4 3
3.1817 3 2
3.27708 2 1
3.41994 1 0
3.49167 0 0
3.60723 1 0
3.89777 0 0
3.99953 1 0
4.57048 0 0
5.60614 1 0
6.02723 0 0
6.10328 1 0
6.43702 2 1
7.50146 3 2
7.66075 2 1
8.06268 1 0
8.13884 0 0
8.78382 1 0
9.24829 0 0
9.68285 1 0
10.1349 2 1
11.832 1 0
12.4127 0 0
12.4247 1 0
13.0619 0 0
13.3896 1 0
13.4772 0 0
15.3095 1 0
15.5079 2 1
15.6276 3 2
15.6294 2 1
17.4701 3 2
18.3735 2 1
18.7526 1 0
18.8492 0 0
19.5415 1 0
19.94 0 0
20.9449 1 0
23.1656 2 1
23.5542 3 2
23.7101 2 1
23.9289 3 2
24.5564 4 3
26.1591 5 4
26.4079 4 3
26.799 5 4
27.1273 4 3
28.3946 3 2
28.4247 2 1
29.1417 3 2
29.2954 2 1
29.2956 3 2
29.4905 4 3
30.1144 5 4
30.2271 4 3
30.3837 3 2
32.2028 2 1
33.1731 1 0
33.2652 2 1
33.5085 1 0
34.0068 2 1
34.41 3 2
36.4691 2 1
36.5106 3 2
36.7662 4 3
36.8725 5 4
36.9654 6 5
37.1109 5 4
37.9193 4 3
38.2821 5 4
38.4487 6 5
38.621 5 4
38.8543 6 5
39.5024 5 4
40.1569 6 5
41.4824 5 4
42.3324 6 5
43.0193 7 6
43.2905 8 7
43.638 9 8
44.3963 8 7
45.1324 7 6
45.3405 8 7
45.7261 9 8
46.1586 10 9
46.4803 11 10
47.9612 12 11
48.4168 13 12
48.4934 14 13
49.5958 15 14
49.6462 14 13
49.945 15 14
51.5703 16 15
52.0511 17 16
52.4405 16 15
52.5725 17 16
52.6805 16 15
52.7092 17 16
52.7126 16 15
53.1341 17 16
54.2888 16 15
55.5851 15 14
55.6288 16 15
55.8174 17 16
55.9395 16 15
56.1424 15 14
56.4947 16 15
56.7277 15 14
57.0589 14 13
57.2906 13 12
57.8895 14 13
57.9111 13 12
58.1013 12 11
58.4964 13 12
58.8387 12 11
59.3573 13 12
59.3977 12 11
59.9999 11 10
60.6933 12 11
61.8688 13 12
61.9922 12 11
63.212 13 12
64.5015 14 13
64.5234 13 12
64.7824 12 11
64.9626 13 12
65.4267 12 11
66.8973 11 10
66.987 10 9
68.6831 9 8
68.7872 8 7
68.9266 7 6
69.1586 6 5
69.654 5 4
70.0417 6 5
70.4036 5 4
71.2467 6 5
71.3969 7 6
71.4321 6 5
71.91 5 4
71.9641 4 3
72.0023 5 4
72.3171 6 5
72.3637 7 6
72.4462 8 7
72.9452 9 8
73.9362 8 7
75.3278 9 8
75.5784 10 9
75.67 9 8
75.8224 10 9
75.9011 11 10
76.4839 12 11
77.3062 11 10
77.8964 12 11
78.2295 11 10
78.4933 10 9
78.7635 9 8
79.0936 10 9
79.6194 11 10
79.9777 12 11
80.7556 11 10
80.9882 10 9
82.6943 9 8
83.5792 10 9
83.6108 9 8
83.677 8 7
84.4417 9 8
84.6863 10 9
86.5351 9 8
87.3511 10 9
87.4328 11 10
87.8435 10 9
88.4185 11 10
89.1527 12 11
89.2869 11 10
89.4874 12 11
90.4858 13 12
91.2093 14 13
91.32 13 12
91.4158 14 13
91.5562 13 12
92.6223 14 13
93.0186 13 12
93.1002 14 13
93.5637 15 14
93.8586 14 13
94.3577 13 12
94.3916 12 11
94.4607 11 10
95.3111 10 9
96.7793 11 10
96.9361 12 11
97.5824 13 12
98.8389 14 13
99.0736 13 12
99.3248 12 11
100.239 11 10
100.815 12 11
101.324 11 10
102.337 10 9
102.602 11 10
102.671 12 11
102.879 11 10
103.718 10 9
104.138 11 10
104.465 10 9
104.96 9 8
104.971 8 7
106.068 7 6
106.085 6 5
106.686 5 4
107.559 6 5
107.813 7 6
108.112 8 7
108.261 9 8
109.085 10 9
109.415 9 8
109.589 10 9
109.654 9 8
110.126 8 7
110.2 9 8
110.498 8 7
110.898 7 6
111.08 6 5
111.502 5 4
112.242 6 5
112.637 5 4
112.732 4 3
112.742 3 2
112.89 2 1
