lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.95 1 0.95 10001 22.459 21.6254 20.6659
0.9481 1 0.9481 10000.6 21.3325 20.5179 19.5604
0.9462 1 0.9462 10000.5 20.5284 19.7091 18.7536
0.9443 1 0.9443 10001.4 19.808 18.9629 18.0093
0.9424 1 0.9424 10000.5 19.1069 18.2495 17.2979
0.9405 1 0.9405 10000.7 18.41 17.5657 16.616
0.9386 1 0.9386 10000.1 17.6444 16.8566 15.9089
0.9367 1 0.9367 10000.1 17.0179 16.2131 15.2674
0.9348 1 0.9348 10000.2 16.4879 15.6497 14.706
0.9329 1 0.9329 10000.7 15.9541 15.0997 14.158
0.931 1 0.931 10000.3 15.4528 14.568 13.6283
0.9291 1 0.9291 10000 15.0007 14.0925 13.1548
0.9272 1 0.9272 10000.5 14.5877 13.6741 12.7384
0.9253 1 0.9253 10000.2 14.174 13.2557 12.3221
0.9234 1 0.9234 10000.1 13.7758 12.8484 11.9168
0.9215 1 0.9215 10000.1 13.3849 12.4555 11.526
0.9196 1 0.9196 10001.4 13.0074 12.073 11.1455
0.9177 1 0.9177 10000.8 12.6395 11.7128 10.7869
0.9158 1 0.9158 10002.6 12.2685 11.3552 10.4305
0.9139 1 0.9139 10000.5 11.9183 11.0148 10.0911
0.912 1 0.912 10000.2 11.6224 10.7239 9.80202
0.9101 1 0.9101 10001.9 11.3827 10.4844 9.56403
0.9082 1 0.9082 10001.2 11.1665 10.2696 9.35129
0.9063 1 0.9063 10000.2 10.9635 10.0604 9.14357
0.9044 1 0.9044 10000 10.7627 9.85553 8.94011
0.9025 1 0.9025 10000.4 10.5863 9.67337 8.75996
0.9006 1 0.9006 10000 10.4207 9.50265 8.59079
0.8987 1 0.8987 10000.3 10.2663 9.33208 8.42219
0.8968 1 0.8968 10000.3 10.1007 9.16041 8.25234
0.8949 1 0.8949 10000.2 9.93605 8.99193 8.08558
0.893 1 0.893 10001.2 9.77624 8.83008 7.9255
0.8911 1 0.8911 10000.1 9.62783 8.67842 7.77553
0.8892 1 0.8892 10000.1 9.47677 8.5212 7.62044
0.8873 1 0.8873 10001.3 9.3259 8.36867 7.47004
0.8854 1 0.8854 10000.1 9.17318 8.2208 7.32424
0.8835 1 0.8835 10000.5 9.02095 8.06905 7.17462
0.8816 1 0.8816 10002.5 8.86278 7.91482 7.02251
0.8797 1 0.8797 10000.3 8.71781 7.75945 6.86931
0.8778 1 0.8778 10000.3 8.58838 7.6247 6.73665
0.8759 1 0.8759 10000.4 8.45775 7.4972 6.61091
0.874 1 0.874 10000.2 8.3211 7.36101 6.47688
0.8721 1 0.8721 10000.9 8.17625 7.22216 6.34017
0.8702 1 0.8702 10000.2 8.03592 7.07889 6.19907
0.8683 1 0.8683 10000.6 7.88793 6.92968 6.05203
0.8664 1 0.8664 10000 7.75473 6.7907 5.91524
0.8645 1 0.8645 10000.2 7.63646 6.66558 5.7923
0.8626 1 0.8626 10000.8 7.53578 6.5654 5.6937
