lambda mu traffic_load total_time waiting_by_job njob_avg nq_avg
0.950000 1.000000 0.950000 100000.460647 18.841158 17.899101 16.950260
0.948100 1.000000 0.948100 100000.010435 17.050567 16.165643 15.221788
0.946200 1.000000 0.946200 100001.567486 26.496373 25.070868 24.114871
0.944300 1.000000 0.944300 100000.943507 17.156939 16.201297 15.256184
0.942400 1.000000 0.942400 100000.048773 15.587418 14.689583 13.750776
0.940500 1.000000 0.940500 100000.343699 19.071584 17.936824 16.988301
0.938600 1.000000 0.938600 100000.202192 17.264439 16.204402 15.262944
0.936700 1.000000 0.936700 100000.095532 14.793963 13.857505 12.923324
0.934800 1.000000 0.934800 100000.717850 16.017635 14.973285 14.038619
0.932900 1.000000 0.932900 100001.219740 15.969936 14.898353 13.962084
0.931000 1.000000 0.931000 100001.722618 13.980205 13.015571 12.088276
0.929100 1.000000 0.929100 100001.462478 12.972699 12.052935 11.130180
0.927200 1.000000 0.927200 100000.045760 13.831515 12.824580 11.895801
0.925300 1.000000 0.925300 100000.169824 13.044264 12.069857 11.143654
0.923400 1.000000 0.923400 100000.474322 10.726482 9.904834 8.987372
0.921500 1.000000 0.921500 100000.089574 13.536150 12.473562 11.550344
0.919600 1.000000 0.919600 100000.394622 11.843034 10.890854 9.973568
0.917700 1.000000 0.917700 100000.112274 12.012597 11.023961 10.104785
0.915800 1.000000 0.915800 100000.185311 10.475765 9.593706 8.684610
0.913900 1.000000 0.913900 100000.067778 10.303335 9.416218 8.505778
0.912000 1.000000 0.912000 100000.373606 10.856961 9.901549 8.992779
0.910100 1.000000 0.910100 100001.143802 11.001739 10.012683 9.098845
0.908200 1.000000 0.908200 100000.895774 11.598571 10.533822 9.620986
0.906300 1.000000 0.906300 100000.153977 10.795396 9.783868 8.875471
0.904400 1.000000 0.904400 100000.145328 9.889169 8.943765 8.042689
0.902500 1.000000 0.902500 100001.616364 10.499562 9.475855 8.568266
0.900600 1.000000 0.900600 100000.564946 10.139741 9.131851 8.229583
0.898700 1.000000 0.898700 100002.040875 9.292888 8.351518 7.454362
0.896800 1.000000 0.896800 100000.121630 10.296322 9.233742 8.327116
0.894900 1.000000 0.894900 100000.881153 10.023780 8.970280 8.072426
0.893000 1.000000 0.893000 100000.126022 9.478934 8.464688 7.570636
0.891100 1.000000 0.891100 100000.156626 9.128298 8.134226 7.245591
0.889200 1.000000 0.889200 100000.258191 8.420835 7.487806 6.601603
0.887300 1.000000 0.887300 100000.057893 8.818777 7.824901 6.939290
0.885400 1.000000 0.885400 100000.253431 7.933434 7.024262 6.144289
0.883500 1.000000 0.883500 100000.336485 9.168038 8.099962 7.217337
0.881600 1.000000 0.881600 100000.583327 8.547950 7.535873 6.654351
0.879700 1.000000 0.879700 100000.968875 8.665636 7.623160 6.739222
0.877800 1.000000 0.877800 100000.061954 8.910440 7.821584 6.936247
0.875900 1.000000 0.875900 100000.669074 7.640933 6.692693 5.818106
0.874000 1.000000 0.874000 100001.130242 7.663711 6.698083 5.829789
0.872100 1.000000 0.872100 100000.211745 7.256058 6.328009 5.460915
0.870200 1.000000 0.870200 100000.213368 8.462800 7.364328 6.487942
0.868300 1.000000 0.868300 100000.091274 7.552372 6.557724 5.688685
0.866400 1.000000 0.866400 100000.136701 7.678257 6.652441 5.782780
0.864500 1.000000 0.864500 100002.626411 7.452584 6.442759 5.578045
0.862600 1.000000 0.862600 100000.250667 7.282527 6.281908 5.421450
0.860700 1.000000 0.860700 100000.432748 6.935065 5.969011 5.116102
0.858800 1.000000 0.858800 100000.239795 6.694221 5.748997 4.895900
0.856900 1.000000 0.856900 100003.775458 6.786402 5.815268 4.960093
0.855000 1.000000 0.855000 100000.317005 6.997776 5.983099 5.130611
0.853100 1.000000 0.853100 100000.363239 7.172280 6.118672 5.264350
0.851200 1.000000 0.851200 100000.082471 7.267712 6.186277 5.334638
0.849300 1.000000 0.849300 100000.689976 6.685349 5.677867 4.826578
0.847400 1.000000 0.847400 100000.353667 6.341022 5.373382 4.525939
0.845500 1.000000 0.845500 100000.005146 6.839793 5.783045 4.941074
0.843600 1.000000 0.843600 100000.135772 6.160186 5.196733 4.358571
0.841700 1.000000 0.841700 100000.254003 6.246720 5.257864 4.416966
0.839800 1.000000 0.839800 100000.263968 6.431298 5.401004 4.557679
0.837900 1.000000 0.837900 100000.825253 6.585281 5.517807 4.680863
0.836000 1.000000 0.836000 100000.232225 5.721672 4.783318 3.950761
0.834100 1.000000 0.834100 100000.706342 6.257919 5.219730 4.385618
0.832200 1.000000 0.832200 100000.197626 5.869860 4.884898 4.050950
0.830300 1.000000 0.830300 100000.303237 6.515212 5.409581 4.570153
0.828400 1.000000 0.828400 100001.051934 5.624607 4.659424 3.834785
0.826500 1.000000 0.826500 100000.093074 6.137750 5.072851 4.241814
0.824600 1.000000 0.824600 100001.171873 5.633450 4.645343 3.817008
0.822700 1.000000 0.822700 100001.029828 5.349051 4.400664 3.581849
0.820800 1.000000 0.820800 100000.562766 5.578697 4.578994 3.754385
0.818900 1.000000 0.818900 100004.202026 5.618997 4.601396 3.781746
0.817000 1.000000 0.817000 100000.202370 5.359020 4.378319 3.559947
0.815100 1.000000 0.815100 100000.070370 5.710028 4.654244 3.832959
0.813200 1.000000 0.813200 100000.439032 5.197334 4.226472 3.412549
0.811300 1.000000 0.811300 100002.990487 5.390671 4.373452 3.563153
0.809400 1.000000 0.809400 100000.838781 5.251600 4.250645 3.434412
0.807500 1.000000 0.807500 100000.812764 5.516024 4.454189 3.646554
0.805600 1.000000 0.805600 100000.561005 5.157605 4.154967 3.346927
0.803700 1.000000 0.803700 100001.741630 5.393666 4.334889 3.530233
0.801800 1.000000 0.801800 100000.691509 4.808995 3.855852 3.059936
0.799900 1.000000 0.799900 100000.479964 4.785778 3.828143 3.033480
0.798000 1.000000 0.798000 100000.693251 5.150789 4.110330 3.312896
0.796100 1.000000 0.796100 100000.079381 4.878382 3.883680 3.093079
0.794200 1.000000 0.794200 100003.843122 4.832465 3.837944 3.046467
0.792300 1.000000 0.792300 100000.763614 4.979566 3.945310 3.146563
0.790400 1.000000 0.790400 100000.012353 4.924027 3.891951 3.102169
0.788500 1.000000 0.788500 100000.582729 4.623268 3.645446 2.857826
0.786600 1.000000 0.786600 100000.041936 4.573400 3.597437 2.807862
0.784700 1.000000 0.784700 100000.374273 4.660950 3.657448 2.875552
0.782800 1.000000 0.782800 100000.463835 4.651779 3.641413 2.855484
0.780900 1.000000 0.780900 100001.232509 4.840427 3.779889 2.993905
0.779000 1.000000 0.779000 100000.460780 4.598203 3.582000 2.802375
0.777100 1.000000 0.777100 100001.570560 4.358288 3.386826 2.613692
0.775200 1.000000 0.775200 100000.527003 4.456157 3.454413 2.682638
0.773300 1.000000 0.773300 100001.030061 4.325881 3.345204 2.576016
0.771400 1.000000 0.771400 100000.505816 4.208087 3.246118 2.475363
0.769500 1.000000 0.769500 100000.363110 4.375855 3.367221 2.596150
0.767600 1.000000 0.767600 100000.604271 4.272241 3.279372 2.509558
0.765700 1.000000 0.765700 100000.049117 4.231327 3.239927 2.474625
0.763800 1.000000 0.763800 100000.068082 4.306378 3.289212 2.521511
0.761900 1.000000 0.761900 100000.252997 4.150385 3.162178 2.401043
0.760000 1.000000 0.760000 100000.134248 4.128443 3.137617 2.379377
0.758100 1.000000 0.758100 100000.124916 4.276709 3.242173 2.479439
0.756200 1.000000 0.756200 100000.140321 3.892725 2.943679 2.197307
0.754300 1.000000 0.754300 100000.200956 3.918933 2.956051 2.207008
0.752400 1.000000 0.752400 100000.017009 4.098833 3.083962 2.327692
0.750500 1.000000 0.750500 100000.094422 4.127916 3.098001 2.342397
0.748600 1.000000 0.748600 100001.020988 3.878579 2.903504 2.155915
0.746700 1.000000 0.746700 100000.673863 3.883350 2.899698 2.154565
0.744800 1.000000 0.744800 100000.454788 3.822602 2.847074 2.103031
0.742900 1.000000 0.742900 100001.404110 3.901591 2.898492 2.155600
0.741000 1.000000 0.741000 100000.124119 3.776153 2.798129 2.056145
0.739100 1.000000 0.739100 100000.073015 3.787689 2.799481 2.061555
0.737200 1.000000 0.737200 100001.215088 3.746620 2.762008 2.030222
0.735300 1.000000 0.735300 100001.178002 3.774151 2.775134 2.042059
0.733400 1.000000 0.733400 100000.086318 3.893025 2.855145 2.117668
0.731500 1.000000 0.731500 100001.428932 3.725056 2.724879 1.992786
0.729600 1.000000 0.729600 100000.304733 3.574600 2.608028 1.882365
0.727700 1.000000 0.727700 100000.267244 3.715641 2.703872 1.973991
0.725800 1.000000 0.725800 100000.692835 3.693993 2.681100 1.952386
0.723900 1.000000 0.723900 100000.026770 3.706050 2.682810 1.953039
0.722000 1.000000 0.722000 100000.368784 3.502950 2.529130 1.813608
0.720100 1.000000 0.720100 100000.012566 3.725331 2.682611 1.958620
0.718200 1.000000 0.718200 100000.299210 3.599251 2.584982 1.870516
0.716300 1.000000 0.716300 100000.757266 3.480852 2.493334 1.775374
0.714400 1.000000 0.714400 100001.035612 3.522090 2.516181 1.800121
0.712500 1.000000 0.712500 100000.116765 3.605821 2.569147 1.854471
0.710600 1.000000 0.710600 100000.610606 3.434728 2.440717 1.733723
0.708700 1.000000 0.708700 100000.448452 3.568280 2.528840 1.811854
0.706800 1.000000 0.706800 100002.040564 3.324566 2.349803 1.646304
0.704900 1.000000 0.704900 100001.410569 3.490949 2.460770 1.753164
0.703000 1.000000 0.703000 100002.549340 3.305529 2.323787 1.623180
0.701100 1.000000 0.701100 100000.813156 3.282233 2.301173 1.603659
0.699200 1.000000 0.699200 100000.166193 3.373729 2.358912 1.652847
0.697300 1.000000 0.697300 100002.560390 3.360155 2.343036 1.645982
0.695400 1.000000 0.695400 100000.516669 3.267291 2.272074 1.575022
0.693500 1.000000 0.693500 100000.014626 3.381113 2.344802 1.648884
0.691600 1.000000 0.691600 100000.274781 3.193492 2.208619 1.518843
0.689700 1.000000 0.689700 100002.393670 3.253019 2.243607 1.550600
0.687800 1.000000 0.687800 100003.846041 3.127807 2.151306 1.467393
0.685900 1.000000 0.685900 100000.745885 3.083620 2.115055 1.434163
0.684000 1.000000 0.684000 100001.007652 3.162850 2.163390 1.480224
0.682100 1.000000 0.682100 100000.913516 3.117914 2.126729 1.449382
0.680200 1.000000 0.680200 100000.227375 3.110558 2.115802 1.436214
0.678300 1.000000 0.678300 100000.059345 3.223543 2.186529 1.505975
0.676400 1.000000 0.676400 100000.315740 3.092296 2.091629 1.417755
0.674500 1.000000 0.674500 100000.035076 3.128017 2.109847 1.432730
0.672600 1.000000 0.672600 100000.565807 3.186757 2.143413 1.468623
0.670700 1.000000 0.670700 100001.279259 3.050258 2.045808 1.375239
0.668800 1.000000 0.668800 100003.364468 3.020077 2.019827 1.353884
0.666900 1.000000 0.666900 100000.794140 3.044801 2.030578 1.355411
0.665000 1.000000 0.665000 100001.063862 2.980246 1.981864 1.316838
0.663100 1.000000 0.663100 100001.605827 3.009530 1.995619 1.328221
0.661200 1.000000 0.661200 100000.775631 2.937927 1.942557 1.282940
0.659300 1.000000 0.659300 100000.063730 2.899529 1.911659 1.255423
0.657400 1.000000 0.657400 100000.155017 2.969957 1.952450 1.294948
0.655500 1.000000 0.655500 100000.165687 2.792237 1.830311 1.178265
0.653600 1.000000 0.653600 100002.495812 2.906805 1.899888 1.248242
0.651700 1.000000 0.651700 100000.932185 2.822707 1.839558 1.191291
0.649800 1.000000 0.649800 100000.596546 2.930456 1.904210 1.253032
0.647900 1.000000 0.647900 100001.003198 2.890150 1.872528 1.225031
0.646000 1.000000 0.646000 100002.176769 2.685587 1.734889 1.096105
0.644100 1.000000 0.644100 100000.017163 2.722461 1.753537 1.115221
0.642200 1.000000 0.642200 100001.028433 2.735948 1.757026 1.116931
0.640300 1.000000 0.640300 100002.112749 2.816793 1.803592 1.160530
0.638400 1.000000 0.638400 100000.156736 2.852442 1.820999 1.178009
0.636500 1.000000 0.636500 100000.028582 2.806282 1.786198 1.146464
0.634600 1.000000 0.634600 100000.811059 2.733079 1.734412 1.100783
0.632700 1.000000 0.632700 100002.003753 2.771103 1.753277 1.120835
0.630800 1.000000 0.630800 100000.808887 2.731253 1.722874 1.087783
0.628900 1.000000 0.628900 100001.621741 2.670958 1.679766 1.056382
0.627000 1.000000 0.627000 100000.248517 2.562013 1.606382 0.988250
0.625100 1.000000 0.625100 100000.887189 2.640813 1.650772 1.025706
0.623200 1.000000 0.623200 100000.011768 2.706607 1.686758 1.061993
0.621300 1.000000 0.621300 100000.832108 2.525374 1.569015 0.955749
0.619400 1.000000 0.619400 100000.421458 2.576789 1.596063 0.978403
0.617500 1.000000 0.617500 100000.068165 2.664817 1.645524 1.027373
0.615600 1.000000 0.615600 100000.057353 2.510608 1.545530 0.940722
0.613700 1.000000 0.613700 100000.491390 2.562774 1.572775 0.958508
0.611800 1.000000 0.611800 100000.010662 2.637153 1.613410 0.996486
0.609900 1.000000 0.609900 100000.276747 2.560865 1.561872 0.956418
0.608000 1.000000 0.608000 100000.602156 2.591275 1.575495 0.969332
0.606100 1.000000 0.606100 100000.523393 2.453617 1.487137 0.885449
0.604200 1.000000 0.604200 100000.560609 2.493660 1.506669 0.903914
0.602300 1.000000 0.602300 100000.151283 2.481832 1.494807 0.894318
0.600400 1.000000 0.600400 100000.161495 2.450444 1.471246 0.875997
0.598500 1.000000 0.598500 100002.145642 2.467751 1.476949 0.879378
0.596600 1.000000 0.596600 100000.407158 2.535582 1.512728 0.913377
0.594700 1.000000 0.594700 100000.543836 2.435295 1.448270 0.850847
0.592800 1.000000 0.592800 100000.952891 2.537572 1.504273 0.902553
0.590900 1.000000 0.590900 100001.032844 2.467052 1.457781 0.862929
0.589000 1.000000 0.589000 100000.059500 2.352296 1.385502 0.800045
0.587100 1.000000 0.587100 100010.317270 2.397238 1.407419 0.821134
0.585200 1.000000 0.585200 100001.106603 2.358214 1.380027 0.795622
0.583300 1.000000 0.583300 100001.976082 2.428393 1.416482 0.830764
0.581400 1.000000 0.581400 100002.633476 2.414839 1.403988 0.819588
0.579500 1.000000 0.579500 100000.111117 2.365254 1.370665 0.791241
0.577600 1.000000 0.577600 100000.335117 2.401116 1.386884 0.808494
0.575700 1.000000 0.575700 100000.436175 2.341158 1.347805 0.772126
0.573800 1.000000 0.573800 100001.451741 2.406504 1.380852 0.803436
0.571900 1.000000 0.571900 100000.068629 2.278381 1.303006 0.733123
0.570000 1.000000 0.570000 100000.326387 2.275414 1.296986 0.729975
0.568100 1.000000 0.568100 100000.443279 2.356492 1.338723 0.765012
0.566200 1.000000 0.566200 100000.233465 2.346249 1.328446 0.759047
0.564300 1.000000 0.564300 100001.864160 2.345693 1.323675 0.758012
0.562400 1.000000 0.562400 100000.490745 2.262623 1.272499 0.711937
0.560500 1.000000 0.560500 100001.073969 2.265515 1.269821 0.709743
0.558600 1.000000 0.558600 100000.947858 2.275027 1.270830 0.711139
0.556700 1.000000 0.556700 100000.797985 2.260367 1.258347 0.700915
0.554800 1.000000 0.554800 100000.335672 2.349971 1.303764 0.740852
0.552900 1.000000 0.552900 100000.756700 2.201869 1.217413 0.669065
0.551000 1.000000 0.551000 100001.092885 2.244401 1.236665 0.683459
0.549100 1.000000 0.549100 100000.209213 2.245947 1.233250 0.681498
0.547200 1.000000 0.547200 100003.765721 2.239888 1.225667 0.675864
0.545300 1.000000 0.545300 100004.873413 2.227751 1.214793 0.666316
0.543400 1.000000 0.543400 100000.295556 2.236755 1.215452 0.669967
0.541500 1.000000 0.541500 100000.596180 2.155932 1.167437 0.624674
0.539600 1.000000 0.539600 100005.348302 2.154047 1.162324 0.623827
0.537700 1.000000 0.537700 100000.152696 2.138093 1.149652 0.618373
0.535800 1.000000 0.535800 100000.627029 2.141684 1.147514 0.614416
0.533900 1.000000 0.533900 100005.639894 2.145914 1.145704 0.612335
0.532000 1.000000 0.532000 100000.945450 2.156756 1.147394 0.614522
0.530100 1.000000 0.530100 100000.967669 2.153389 1.141512 0.605533
0.528200 1.000000 0.528200 100000.032775 2.130689 1.125430 0.595725
0.526300 1.000000 0.526300 100001.450261 2.102415 1.106501 0.579174
0.524400 1.000000 0.524400 100000.625003 2.103670 1.103165 0.576352
0.522500 1.000000 0.522500 100000.276918 2.119760 1.107575 0.581657
0.520600 1.000000 0.520600 100000.772809 2.075536 1.080524 0.563076
0.518700 1.000000 0.518700 100001.616399 2.120440 1.099872 0.578196
0.516800 1.000000 0.516800 100001.861411 1.990299 1.028586 0.521271
0.514900 1.000000 0.514900 100000.042022 2.026568 1.043480 0.530777
0.513000 1.000000 0.513000 100000.267189 2.039028 1.046021 0.531272
0.511100 1.000000 0.511100 100000.596664 2.012491 1.028584 0.522057
0.509200 1.000000 0.509200 100000.220855 1.991678 1.014162 0.509058
0.507300 1.000000 0.507300 100001.355374 2.018508 1.023989 0.515834
0.505400 1.000000 0.505400 100003.185048 2.028205 1.025055 0.516447
0.503500 1.000000 0.503500 100002.388976 1.973393 0.993603 0.491192
0.501600 1.000000 0.501600 100006.763082 2.004172 1.005293 0.502739
0.499700 1.000000 0.499700 100000.347411 1.974500 0.986658 0.487606
0.497800 1.000000 0.497800 100000.407281 2.019473 1.005294 0.505546
0.495900 1.000000 0.495900 100000.198884 2.005530 0.994542 0.494282
0.494000 1.000000 0.494000 100000.485617 1.916308 0.946656 0.459566
0.492100 1.000000 0.492100 100004.224522 1.996921 0.982685 0.488808
0.490200 1.000000 0.490200 100001.723667 1.991968 0.976463 0.486026
0.488300 1.000000 0.488300 100004.876027 1.904502 0.929968 0.444219
0.486400 1.000000 0.486400 100001.486055 1.924895 0.936269 0.452227
0.484500 1.000000 0.484500 100004.919915 1.941124 0.940475 0.454381
