lambda L W U0 U1 U2 U3 L0 W0 L1 W1 L2 W2 L3 W3
0.050000 0.606657 11.964713 0.152913 0.049570 0.102593 0.206194 0.179600 0.892707 0.051904 1.051542 0.115227 2.256269 0.259927 5.085663
0.059500 0.714585 12.204957 0.174492 0.057609 0.115756 0.232493 0.213223 0.907342 0.061362 1.043425 0.133460 2.257120 0.306539 5.273444
0.069000 0.885496 12.879192 0.208342 0.071299 0.138149 0.275778 0.262686 0.939819 0.076774 1.095732 0.160069 2.290738 0.385967 5.588318
0.078500 1.038494 13.197504 0.235183 0.079224 0.157975 0.315166 0.306840 0.971280 0.086385 1.089761 0.186754 2.357419 0.458515 5.800674
0.088000 1.218365 13.838105 0.264127 0.087427 0.179777 0.350201 0.360024 1.021218 0.095821 1.095546 0.219053 2.465311 0.543467 6.197292
0.097500 1.379229 14.241850 0.290451 0.094196 0.195073 0.390700 0.410535 1.067121 0.103678 1.083816 0.241607 2.500592 0.623409 6.487309
0.107000 1.645898 15.035570 0.327332 0.110286 0.216667 0.438421 0.489708 1.119507 0.123652 1.125572 0.278585 2.563659 0.753952 6.931814
0.116500 1.826049 15.690709 0.346441 0.113044 0.227563 0.469559 0.528386 1.146961 0.125410 1.090805 0.296060 2.599532 0.876194 7.533589
0.126000 2.024234 16.092654 0.369219 0.121984 0.245193 0.496056 0.580582 1.172757 0.139369 1.130268 0.318033 2.595841 0.986251 8.108189
0.135500 2.396878 17.560959 0.409308 0.139575 0.271727 0.544358 0.690339 1.256045 0.163132 1.178954 0.375332 2.747991 1.168075 8.537941
0.145000 2.619809 18.174081 0.431836 0.145105 0.286504 0.567217 0.753943 1.309443 0.170406 1.166607 0.392269 2.719755 1.303191 9.133039
0.154500 3.136239 20.256890 0.464785 0.155930 0.311886 0.617604 0.872557 1.409391 0.185144 1.206165 0.448224 2.854961 1.630314 10.568932
0.164000 3.638805 22.287542 0.495385 0.167203 0.331404 0.674503 0.987979 1.491222 0.200933 1.206554 0.493839 2.997970 1.956055 11.690097
0.173500 4.161340 23.559215 0.527171 0.174761 0.355207 0.702589 1.100839 1.562744 0.211195 1.214407 0.548044 3.096678 2.301261 13.136858
0.183000 4.650043 25.551261 0.539715 0.179385 0.358577 0.734729 1.182659 1.643683 0.217008 1.219838 0.569245 3.193901 2.681131 14.717032
0.192500 5.149157 26.970687 0.567056 0.189664 0.376028 0.760203 1.308193 1.731077 0.233820 1.236247 0.612644 3.243241 2.994500 15.776482
0.202000 6.872916 33.823069 0.605034 0.202828 0.399439 0.819797 1.514980 1.877768 0.252494 1.253821 0.656475 3.286404 4.448968 21.784961
0.211500 7.239762 33.961456 0.636352 0.211862 0.421977 0.823186 1.746637 2.063674 0.270975 1.283272 0.717622 3.395269 4.504529 21.473771
0.221000 11.179995 49.940353 0.674046 0.225895 0.451045 0.901239 2.007627 2.224911 0.289471 1.282208 0.812658 3.631132 8.070239 35.783059
0.230500 15.245150 66.161747 0.690408 0.231175 0.456237 0.920757 2.194706 2.380394 0.296526 1.278907 0.835549 3.625695 11.918369 51.328927
0.240000 39.092871 164.508787 0.706339 0.233369 0.468406 0.958286 2.437981 2.585067 0.305071 1.301429 0.869808 3.708572 35.480010 149.826242
0.249500 41.556572 164.463925 0.743071 0.245151 0.501057 0.981403 2.905932 2.925624 0.324445 1.319796 0.989323 3.976860 37.336873 150.389410
0.259000 282.029654 1029.923251 0.755964 0.253283 0.503147 0.998865 3.137209 3.110212 0.340825 1.351999 1.003752 4.009237 277.547868 1087.165961
0.268500 506.219864 1742.895858 0.781229 0.260856 0.517945 0.998944 3.508454 3.389524 0.351232 1.346441 1.070203 4.114340 501.289975 1931.089030
0.278000 716.574945 2266.355804 0.783369 0.257951 0.523896 0.998504 3.672087 3.510549 0.347218 1.336229 1.082688 4.151105 711.472952 2686.953941
0.287500 997.302774 3077.630348 0.802197 0.266715 0.531671 0.998414 3.920593 3.668443 0.362589 1.354666 1.113320 4.151908 991.906272 3740.021168
0.297000 1303.173461 3719.366519 0.827419 0.275143 0.545869 0.999783 4.829583 4.392335 0.379616 1.367858 1.209156 4.426934 1296.755105 4724.856832
0.306500 1423.298714 3852.151400 0.833094 0.276562 0.554694 0.999255 5.132592 4.630995 0.383996 1.396657 1.259961 4.544894 1416.522165 5063.006261
0.316000 1602.003473 4063.712138 0.848270 0.282983 0.552617 0.999549 5.377681 4.762800 0.394202 1.388330 1.230466 4.405694 1595.001124 5630.610492
0.325500 1797.479846 4382.697081 0.867386 0.288274 0.581944 0.999421 6.603626 5.723996 0.410454 1.421535 1.408971 4.866240 1789.056795 6162.982959
0.335000 2136.408897 4922.626852 0.878802 0.290914 0.585946 0.999929 7.271517 6.205169 0.410340 1.400483 1.425093 4.859270 2127.301947 7261.580735
0.344500 2548.519872 5562.330905 0.886184 0.298530 0.592555 0.999720 7.206348 6.096330 0.426832 1.433238 1.440463 4.905147 2539.446229 8582.859346
0.354000 2456.012985 5231.728602 0.908462 0.307025 0.603838 0.999950 9.976192 8.230816 0.441323 1.444267 1.531028 5.074693 2444.064442 8107.778360
0.363500 2856.663144 5758.459971 0.918201 0.306863 0.609626 0.999726 11.344390 9.275730 0.444216 1.450979 1.500921 4.910118 2843.373617 9233.860603
0.373000 3001.257522 5613.478181 0.938657 0.311452 0.627364 0.999700 14.018926 11.233694 0.451159 1.453904 1.700045 5.401599 2985.087392 9500.998038
0.382500 3293.667314 6101.044796 0.947668 0.317764 0.631826 0.999302 18.704678 14.790951 0.461753 1.452331 1.724126 5.443876 3272.776758 10555.044247
0.392000 3601.268279 6127.838384 0.963879 0.328893 0.650989 0.999445 21.272133 16.576336 0.493167 1.515020 1.861643 5.807476 3577.641336 11091.498497
0.401500 3694.197011 6177.086730 0.982975 0.329162 0.659363 0.999770 49.746545 37.801406 0.486615 1.478404 1.970232 5.980335 3641.993618 10986.501547
0.411000 4029.280482 6557.301221 0.992765 0.336556 0.658101 0.999687 106.085401 80.033298 0.519894 1.545471 1.884893 5.751729 3920.790294 11867.287403
0.420500 4540.922628 7139.932017 0.999793 0.332250 0.671694 0.999614 319.315462 238.554402 0.489252 1.470375 2.047129 6.112115 4219.070784 12578.066095
0.430000 4936.621006 7798.186022 0.999491 0.335657 0.663872 0.999777 909.034436 676.343135 0.505897 1.512810 1.957523 5.909340 4025.123150 12030.233669
